Unnamed: 0,id,question,answer,sentiment,corrected,text
0,11682,Ваши открытия за время обучения на модуле,что конфликт можно использоват,neutrals,что конфликт можно использоват,passage:что конфликт можно использоват
1,11682,Ваши открытия за время обучения на модуле,что есть рефрейминг,neutrals,что есть рефрейминг,passage:что есть рефрейминг
2,11682,Ваши открытия за время обучения на модуле,стратегии поведения в конфликт,neutrals,стратегии поведения в конфликт,passage:стратегии поведения в конфликт
3,11682,Ваши открытия за время обучения на модуле,конфликт это нормально,neutrals,конфликт это нормально,passage:конфликт это нормально
4,11682,Ваши открытия за время обучения на модуле,удалось познакомится с коллега,neutrals,удалось познакомится с коллега,passage:удалось познакомится с коллега
5,11682,Ваши открытия за время обучения на модуле,.,neutrals,.,passage:.
6,11682,Ваши открытия за время обучения на модуле,спасибо за очное обучение,neutrals,спасибо за очное обучение,passage:спасибо за очное обучение
7,11682,Ваши открытия за время обучения на модуле,знания-сила,neutrals,знания-сила,passage:знания-сила
8,11682,Ваши открытия за время обучения на модуле,сила в практике,neutrals,сила в практике,passage:сила в практике
9,11682,Ваши открытия за время обучения на модуле,практика-результат,neutrals,практика-результат,passage:практика-результат
10,11682,Ваши открытия за время обучения на модуле,знания- результат,neutrals,знания- результат,passage:знания- результат
11,11682,Ваши открытия за время обучения на модуле,"вероломных, запоминающихся",neutrals,"вероломных, запоминающихся","passage:вероломных, запоминающихся"
12,11682,Ваши открытия за время обучения на модуле,открытий не случилось,neutrals,открытий не случилось,passage:открытий не случилось
13,11682,Ваши открытия за время обучения на модуле,диалог для решения 1 конфликта,neutrals,диалог для решения 1 конфликта,passage:диалог для решения 1 конфликта
14,11682,Ваши открытия за время обучения на модуле,конструктивы,neutrals,конструктивы,passage:конструктивы
15,11682,Ваши открытия за время обучения на модуле,"не думал, что на квадратный ме",neutrals,"не думал, что на квадратный ме","passage:не думал, что на квадратный ме"
16,11682,Ваши открытия за время обучения на модуле,тр может собраться столько при,neutrals,тр может собраться столько при,passage:тр может собраться столько при
17,11682,Ваши открытия за время обучения на модуле,ятных людей,neutrals,ятных людей,passage:ятных людей
18,11682,Ваши открытия за время обучения на модуле,влюбился в коуча,neutrals,влюбился в коуча,passage:влюбился в коуча
19,11682,Ваши открытия за время обучения на модуле,"рефарминг, присоединение",neutrals,"рефарминг, присоединение","passage:рефарминг, присоединение"
20,11682,Ваши открытия за время обучения на модуле,применение конструктов,neutrals,применение конструктов,passage:применение конструктов
21,11682,Ваши открытия за время обучения на модуле,конструкты,neutrals,конструкты,passage:конструкты
22,11682,Ваши открытия за время обучения на модуле,конструкты,neutrals,конструкты,passage:конструкты
23,11682,Ваши открытия за время обучения на модуле,🙆‍♀️,neutrals,🙆‍♀️,passage:🙆‍♀️
0,10106,Что вы сможете использовать в своей работе?,"формулировать проблему, 5 поче",neutrals,"формулировать проблему, 5 поче","passage:формулировать проблему, 5 поче"
1,10106,Что вы сможете использовать в своей работе?,поиск потерь,neutrals,поиск потерь,passage:поиск потерь
