,q_id,question,answer,cluster,sentiment
0,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,топ менеджеры,топ менеджеры,neutrals
1,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,требования безопасности для р,требования безопасности для р,neutrals
2,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,увеличить численность от до,увеличить численность от до,neutrals
3,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,узконаправленная деятельность,узконаправленная деятельность,neutrals
4,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,умение выслушать,умение выслушать,positives
5,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,упростить закупки,упростить закупки,positives
6,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,участие лидеров в совещ. рук.,участие лидеров в совещаниях руководителей,neutrals
7,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,физическая,физическая,neutrals
8,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,эта поддержка уже есть,эта поддержка уже есть,positives
9,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,методическая,методическая,neutrals
10,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,методология,методическая,neutrals
11,19750,Вопрос 8. Какая поддержка нам нужна от руководителей отрасли и дивизиона?,тренинги,тренинги,neutrals
0,23391,Как проходит процесс адаптации?,как дома,как дома,neutrals
0,23422,Ваши открытия за время обучения на модуле,важно формировать осознание,важно формировать осознание,neutrals
1,23422,Ваши открытия за время обучения на модуле,есть,есть,neutrals
2,23422,Ваши открытия за время обучения на модуле,интерактивная бизнес-игра,интерактивная бизнес игра,neutrals
3,23422,Ваши открытия за время обучения на модуле,модель,модель,neutrals
4,23422,Ваши открытия за время обучения на модуле,модель адкар,модель адкар,neutrals
5,23422,Ваши открытия за время обучения на модуле,нет,нет,neutrals
6,23422,Ваши открытия за время обучения на модуле,нужен план изменений,нужен план изменений,neutrals
7,23422,Ваши открытия за время обучения на модуле,очень интересная игра,очень интересная игра,positives
8,23422,Ваши открытия за время обучения на модуле,разобраться можно во всем!,разобраться можно во всем,neutrals
0,23379,Как настроение?,бодрое морозное,бодрое морозное,positives
1,23379,Как настроение?,всё клубнично как обычно,прекрасно,positives
2,23379,Как настроение?,замечательно,прекрасно,positives
3,23379,Как настроение?,замечательное,прекрасно,positives
4,23379,Как настроение?,круто,прекрасно,positives
5,23379,Как настроение?,кул,прекрасно,positives
